file,misclassified
filtered_220368000_20240523_0126-20240523_0141_standardized_10s.csv,11
filtered_219014012_20240525_1142-20240525_1157_standardized_10s.csv,10
filtered_219014851_20240527_0527-20240527_0542_standardized_10s.csv,9
filtered_314525000_20241124_1347-20241124_1401_standardized_10s.csv,9
filtered_219793000_20240530_2014-20240530_2028_standardized_10s.csv,9
filtered_219017895_20240528_2230-20240528_2244_standardized_10s.csv,9
filtered_219013178_20240529_0715-20240529_0729_standardized_10s.csv,9
filtered_219017895_20240529_0030-20240529_0044_standardized_10s.csv,8
filtered_219017895_20240527_0135-20240527_0150_standardized_10s.csv,8
filtered_219013178_20240526_1000-20240526_1015_standardized_10s.csv,8
filtered_220356000_20240526_1015-20240526_1029_standardized_10s.csv,8
filtered_220368000_20240528_1945-20240528_2000_standardized_10s.csv,8
filtered_219024411_20240524_0559-20240524_0614_standardized_10s.csv,8
filtered_219017895_20240526_2250-20240526_2305_standardized_10s.csv,7
filtered_220182000_20240528_2349-20240529_0004_standardized_10s.csv,7
filtered_219021428_20240527_1349-20240527_1403_standardized_10s.csv,7
filtered_219004203_20240528_0115-20240528_0129_standardized_10s.csv,7
filtered_219027298_20240523_1020-20240523_1035_standardized_10s.csv,7
filtered_219014012_20240522_1155-20240522_1210_standardized_10s.csv,7
filtered_219793000_20240524_1342-20240524_1357_standardized_10s.csv,7
filtered_219793000_20240529_0144-20240529_0159_standardized_10s.csv,7
filtered_220356000_20240528_0116-20240528_0131_standardized_10s.csv,7
filtered_219793000_20240528_1614-20240528_1629_standardized_10s.csv,6
filtered_220182000_20240529_2319-20240529_2334_standardized_10s.csv,6
filtered_219017895_20240527_1635-20240527_1650_standardized_10s.csv,6
filtered_219001518_20240525_1900-20240525_1915_standardized_10s.csv,6
filtered_220225000_20240527_1830-20240527_1845_standardized_10s.csv,6
filtered_220329000_20240525_1145-20240525_1200_standardized_10s.csv,6
filtered_219017895_20240526_2035-20240526_2050_standardized_10s.csv,6
filtered_220329000_20240526_0130-20240526_0145_standardized_10s.csv,6
filtered_219001518_20240523_0620-20240523_0635_standardized_10s.csv,6
