# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:40,Class A,209938000,56.888598,12.476952,Moored,0.0,0.0,,61.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:04:43,Class A,209938000,56.888598,12.476952,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:42,Class A,209938000,56.888653,12.476997,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:42,Class A,209938000,56.888653,12.476997,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:45,Class A,209938000,56.888653,12.476997,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:45,Class A,209938000,56.888653,12.476997,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:45,Class A,209938000,56.888652,12.477,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:10:45,Class A,209938000,56.888652,12.477,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:13:44,Class A,209938000,56.88864,12.476963,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:13:44,Class A,209938000,56.88864,12.476963,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:16:42,Class A,209938000,56.88864,12.476963,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:17:43,Class A,209938000,56.888657,12.477035,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:17:43,Class A,209938000,56.888657,12.477035,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:17:44,Class A,209938000,56.888657,12.477035,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:20:44,Class A,209938000,56.888617,12.476985,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:20:44,Class A,209938000,56.888617,12.476985,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:23:44,Class A,209938000,56.888653,12.476975,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:23:44,Class A,209938000,56.888653,12.476975,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:26:43,Class A,209938000,56.888645,12.476998,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:26:43,Class A,209938000,56.888645,12.476998,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:28:42,Class A,209938000,56.888645,12.476998,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:29:44,Class A,209938000,56.888605,12.47691,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:32:43,Class A,209938000,56.888632,12.47696,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:34:45,Class A,209938000,56.888632,12.47696,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:34:45,Class A,209938000,56.888632,12.47696,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:35:42,Class A,209938000,56.888623,12.476937,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:38:44,Class A,209938000,56.8886,12.476883,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:40:44,Class A,209938000,56.8886,12.476883,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:41:44,Class A,209938000,56.888598,12.476882,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:44:42,Class A,209938000,56.888598,12.476933,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:44:42,Class A,209938000,56.888598,12.476933,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:46:42,Class A,209938000,56.888598,12.476933,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:50:45,Class A,209938000,56.888613,12.476845,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:50:45,Class A,209938000,56.888613,12.476845,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:52:42,Class A,209938000,56.888613,12.476845,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:53:42,Class A,209938000,56.888638,12.476963,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:56:41,Class A,209938000,56.888623,12.476967,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 00:59:43,Class A,209938000,56.88865,12.476885,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 01:02:42,Class A,209938000,56.88865,12.476948,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 01:02:42,Class A,209938000,56.88865,12.476948,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 01:04:43,Class A,209938000,56.88865,12.476948,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
26/11/2024 01:05:42,Class A,209938000,56.888643,12.476948,Moored,0.0,0.0,,61.0,9137296,C4HU2,RIX SPRING,Cargo,,11.0,82.0,GPS,4.6,PL PLC,27/11/2024 22:00:00,AIS,72.0,10.0,5.0,6.0
