# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:01:59,Class A,211609560,55.016445,8.439453,Moored,0.0,0.0,247.5,212.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:04:55,Class A,211609560,55.016445,8.439453,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:05:00,Class A,211609560,55.016445,8.439458,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:08:01,Class A,211609560,55.016442,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:11:00,Class A,211609560,55.016438,8.439447,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:14:02,Class A,211609560,55.016443,8.439462,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:16:56,Class A,211609560,55.016443,8.439462,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:17:00,Class A,211609560,55.016457,8.439465,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:20:03,Class A,211609560,55.016442,8.439453,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:23:02,Class A,211609560,55.016438,8.439452,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:26:03,Class A,211609560,55.016442,8.439457,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:28:56,Class A,211609560,55.016442,8.439457,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:29:04,Class A,211609560,55.016445,8.43946,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:31:55,Class A,211609560,55.016425,8.439448,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:34:56,Class A,211609560,55.016425,8.439448,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:35:02,Class A,211609560,55.016443,8.439465,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:38:00,Class A,211609560,55.016432,8.439445,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:40:55,Class A,211609560,55.016432,8.439445,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:41:01,Class A,211609560,55.016443,8.439463,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:44:00,Class A,211609560,55.016438,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:46:55,Class A,211609560,55.016438,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:47:00,Class A,211609560,55.016437,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:49:55,Class A,211609560,55.016437,8.439455,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:52:56,Class A,211609560,55.016437,8.439455,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:53:00,Class A,211609560,55.016435,8.439445,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 00:55:57,Class A,211609560,55.016435,8.439443,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:01:57,Class A,211609560,55.016432,8.439433,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:04:56,Class A,211609560,55.016432,8.439433,Moored,0.0,0.0,247.5,211.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:04:59,Class A,211609560,55.016432,8.439435,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:07:58,Class A,211609560,55.016427,8.43945,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:10:56,Class A,211609560,55.016427,8.43945,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:10:58,Class A,211609560,55.016432,8.439438,Moored,0.0,0.0,247.5,210.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:13:58,Class A,211609560,55.016435,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:16:55,Class A,211609560,55.016435,8.439452,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:16:58,Class A,211609560,55.016438,8.439447,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:20:00,Class A,211609560,55.016438,8.439435,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:22:56,Class A,211609560,55.016438,8.439435,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:23:00,Class A,211609560,55.01644,8.439437,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:26:00,Class A,211609560,55.016438,8.439442,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:28:56,Class A,211609560,55.016438,8.439442,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:31:59,Class A,211609560,55.016442,8.439442,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:34:56,Class A,211609560,55.016442,8.439442,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:35:00,Class A,211609560,55.016438,8.439437,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:37:57,Class A,211609560,55.01645,8.439435,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
26/11/2024 01:40:56,Class A,211609560,55.01645,8.439435,Moored,0.0,0.0,247.5,212.0,Unknown,DBLC,MYA II,Other,,6.0,22.0,GPS,1.3,LIST RESEARCH,30/10/2025 09:00:00,AIS,7.0,15.0,2.0,4.0
