# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 10:16:48,Class A,266274000,58.177527,11.065123,Under way using engine,,4.9,205.1,206.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 10:40:20,Class A,266274000,58.177527,11.065123,Under way using engine,,4.9,205.1,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 10:47:48,Class A,266274000,58.1345,11.021157,Under way using engine,,6.2,208.9,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 10:49:09,Class A,266274000,58.132858,11.019445,Under way using engine,,5.3,207.4,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 10:55:29,Class A,266274000,58.125092,11.01187,Under way using engine,,4.7,195.2,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 10:59:40,Class A,266274000,58.119348,11.006397,Under way using engine,,3.4,197.8,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:00:48,Class A,266274000,58.11777,11.005015,Under way using engine,0.0,6.9,205.9,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:01:05,Class A,266274000,58.11735,11.00468,Under way using engine,,4.9,200.5,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:01:09,Class A,266274000,58.117258,11.004632,Under way using engine,,5.1,197.6,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:01:14,Class A,266274000,58.11712,11.004537,Under way using engine,,5.4,201.6,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:01:29,Class A,266274000,58.116797,11.004278,Under way using engine,,5.5,205.9,200.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:01:58,Class A,266274000,58.116122,11.003753,Under way using engine,,5.7,207.4,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:02:09,Class A,266274000,58.115873,11.003475,Under way using engine,,5.4,206.7,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:02:40,Class A,266274000,58.115122,11.002827,Under way using engine,,5.1,206.3,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:05:48,Class A,266274000,58.110798,10.999227,Under way using engine,,6.3,200.7,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:05:58,Class A,266274000,58.110572,10.998997,Under way using engine,,5.9,204.6,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:06:09,Class A,266274000,58.110298,10.998747,Under way using engine,0.0,6.1,209.7,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:06:18,Class A,266274000,58.110065,10.99852,Under way using engine,,6.3,209.5,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:06:58,Class A,266274000,58.109052,10.997737,Under way using engine,,5.8,201.3,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:07:18,Class A,266274000,58.108563,10.99725,Under way using engine,,5.9,208.2,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:07:48,Class A,266274000,58.10776,10.996713,Under way using engine,,6.3,210.0,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:08:09,Class A,266274000,58.107207,10.996355,Under way using engine,,6.4,203.7,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:08:28,Class A,266274000,58.106697,10.995998,Under way using engine,,5.8,199.4,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:09:25,Class A,266274000,58.105448,10.995293,Under way using engine,,4.8,197.0,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:10:05,Class A,266274000,58.104647,10.994548,Under way using engine,,4.3,210.8,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:10:11,Class A,266274000,58.104517,10.99439,Under way using engine,,5.0,205.6,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:10:26,Class A,266274000,58.104213,10.994193,Under way using engine,,5.0,200.0,208.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:13,Class A,266274000,58.103313,10.993268,Under way using engine,0.0,3.1,225.7,209.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:18,Class A,266274000,58.10324,10.993203,Under way using engine,0.0,4.0,209.3,209.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:32,Class A,266274000,58.10305,10.993005,Under way using engine,,3.7,204.2,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:35,Class A,266274000,58.102998,10.992965,Under way using engine,0.0,3.4,205.3,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:39,Class A,266274000,58.102938,10.992918,Under way using engine,0.0,4.2,195.9,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:43,Class A,266274000,58.102867,10.992877,Under way using engine,,3.5,203.2,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:11:46,Class A,266274000,58.102802,10.992828,Under way using engine,,4.4,199.8,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:12:05,Class A,266274000,58.102373,10.992518,Under way using engine,,5.2,197.8,196.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:12:05,Class A,266274000,58.102373,10.992518,Under way using engine,,5.4,193.8,196.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:12:11,Class A,266274000,58.102223,10.992472,Under way using engine,,5.6,197.8,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:12:19,Class A,266274000,58.102008,10.992382,Under way using engine,,5.3,201.1,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:12:39,Class A,266274000,58.101548,10.991928,Under way using engine,0.0,5.7,203.2,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:08,Class A,266274000,58.100797,10.991318,Under way using engine,,5.9,204.5,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:19,Class A,266274000,58.100493,10.991117,Under way using engine,,6.5,194.0,198.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:20,Class A,266274000,58.100467,10.991105,Under way using engine,,6.5,194.0,197.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:36,Class A,266274000,58.100027,10.990837,Under way using engine,0.0,6.2,201.4,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:39,Class A,266274000,58.099937,10.990808,Under way using engine,,6.7,193.1,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:13:48,Class A,266274000,58.099705,10.990587,Under way using engine,,6.1,208.5,209.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:14:03,Class A,266274000,58.099303,10.990268,Under way using engine,,6.1,198.0,208.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:14:04,Class A,266274000,58.09926,10.990267,Under way using engine,,5.6,195.8,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:14:08,Class A,266274000,58.099203,10.99021,Under way using engine,,5.0,205.7,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:14:19,Class A,266274000,58.098948,10.990012,Under way using engine,,5.1,206.6,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:14:58,Class A,266274000,58.097917,10.989142,Under way using engine,,5.8,205.5,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:15:08,Class A,266274000,58.09771,10.988998,Under way using engine,0.0,5.3,192.9,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:15:58,Class A,266274000,58.096495,10.98805,Under way using engine,,5.7,202.4,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:16:01,Class A,266274000,58.096437,10.988005,Under way using engine,,5.8,205.0,200.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:16:12,Class A,266274000,58.096157,10.987815,Under way using engine,,6.0,195.6,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:17:08,Class A,266274000,58.094678,10.986637,Under way using engine,0.0,5.6,205.7,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:17:19,Class A,266274000,58.094397,10.986415,Under way using engine,0.0,5.6,206.4,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:17:58,Class A,266274000,58.09333,10.98546,Under way using engine,0.0,6.3,199.9,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:18:08,Class A,266274000,58.093108,10.985262,Under way using engine,,5.4,205.2,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:18:58,Class A,266274000,58.091792,10.984248,Under way using engine,,6.9,197.9,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:19:58,Class A,266274000,58.090438,10.983058,Under way using engine,,4.2,215.0,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:20:39,Class A,266274000,58.08959,10.982258,Under way using engine,,5.3,202.7,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:02,Class A,266274000,58.089082,10.981882,Under way using engine,,4.5,201.0,199.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:15,Class A,266274000,58.08874,10.98174,Under way using engine,,5.5,194.0,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:23,Class A,266274000,58.088568,10.981567,Under way using engine,,5.7,207.2,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:29,Class A,266274000,58.088445,10.981485,Under way using engine,0.0,5.2,208.7,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:31,Class A,266274000,58.088402,10.981427,Under way using engine,,5.5,204.7,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:35,Class A,266274000,58.088285,10.981348,Under way using engine,,5.3,203.2,208.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:21:39,Class A,266274000,58.088215,10.981267,Under way using engine,0.0,5.3,205.3,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
