# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:57,Class A,266472000,57.93338,11.69757,At anchor,0.2,0.1,29.7,209.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:05:35,Class A,266472000,57.93338,11.69757,At anchor,0.2,0.1,29.7,209.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:05:57,Class A,266472000,57.93337,11.69757,At anchor,-0.2,0.1,24.9,208.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:08:57,Class A,266472000,57.93337,11.69759,At anchor,0.0,0.1,36.4,209.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:11:35,Class A,266472000,57.93337,11.69759,At anchor,0.0,0.1,36.4,209.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:23:35,Class A,266472000,57.93337,11.69759,At anchor,0.0,0.1,36.4,209.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:26:57,Class A,266472000,57.933327,11.697692,At anchor,0.0,0.0,47.7,214.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:35:57,Class A,266472000,57.933357,11.697607,At anchor,0.2,0.1,60.6,206.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:38:57,Class A,266472000,57.933327,11.69765,At anchor,5.4,0.1,63.4,212.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:41:35,Class A,266472000,57.933327,11.69765,At anchor,5.4,0.1,63.4,212.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
26/11/2024 00:44:57,Class A,266472000,57.933335,11.697712,At anchor,0.2,0.1,44.1,213.0,9310317,SGOX,LEXUS,Tanker,,13.0,88.0,GPS,5.2,SESTE,25/11/2024 08:00:00,AIS,69.0,19.0,8.0,5.0
