# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:52,Class A,244267000,55.242742,11.027198,At anchor,0.0,0.1,81.3,212.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:04:57,Class A,244267000,55.242742,11.027198,At anchor,0.0,0.1,81.3,212.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:05:51,Class A,244267000,55.242743,11.027175,At anchor,0.0,0.0,54.3,210.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:05:51,Class A,244267000,55.242743,11.027175,At anchor,0.0,0.0,54.3,210.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:05:51,Class A,244267000,55.242743,11.027175,At anchor,0.0,0.0,54.3,210.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:08:52,Class A,244267000,55.242743,11.027215,At anchor,1.1,0.0,173.9,212.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:08:52,Class A,244267000,55.242743,11.027215,At anchor,1.1,0.0,173.9,212.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:08:52,Class A,244267000,55.242743,11.027215,At anchor,1.1,0.0,173.9,212.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:10:57,Class A,244267000,55.242743,11.027215,At anchor,1.1,0.0,173.9,212.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:11:53,Class A,244267000,55.24274,11.027192,At anchor,0.0,0.1,274.8,213.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
26/11/2024 00:11:53,Class A,244267000,55.24274,11.027192,At anchor,0.0,0.1,274.8,213.0,9265249,PHKQ,STELLA VIRGO,Tanker,,16.0,104.0,GPS,6.4,NLAMS >> DKAVN,24/11/2024 16:30:00,AIS,84.0,20.0,8.0,8.0
