# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:00,Class A,219019219,56.354885,4.291697,Under way using engine,0.0,0.2,208.7,233.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:08,Class A,219019219,56.354885,4.291697,Under way using engine,0.0,0.2,208.7,233.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:00:09,Class A,219019219,56.354868,4.291737,Under way using engine,0.0,0.4,134.5,233.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:00:20,Class A,219019219,56.354855,4.291717,Under way using engine,0.0,0.2,176.0,236.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:00:29,Class A,219019219,56.354843,4.291737,Under way using engine,0.0,0.2,157.4,237.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:00:40,Class A,219019219,56.354837,4.291753,Under way using engine,0.0,0.2,134.7,237.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:00:50,Class A,219019219,56.354808,4.291742,Under way using engine,0.0,0.4,144.6,238.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:01:00,Class A,219019219,56.354798,4.291727,Under way using engine,0.0,0.4,126.8,234.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:01:09,Class A,219019219,56.354815,4.291717,Under way using engine,0.0,0.1,64.6,232.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:01:20,Class A,219019219,56.354818,4.291697,Under way using engine,,0.1,100.4,230.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
26/11/2024 00:01:24,Class A,219019219,56.35478,4.291767,Under way using engine,0.0,0.7,115.7,232.0,9678422,OWXY2,ESVAGT CLAUDINE,SAR,,12.0,46.0,GPS,4.5,HARALD,18/09/2025 11:00:00,AIS,21.0,25.0,8.0,4.0
