# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:04:41,Class A,220001000,57.055618,9.924823,Moored,,0.0,124.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:14:11,Class A,220001000,57.055618,9.924823,Moored,,0.0,124.3,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:16:41,Class A,220001000,57.055608,9.92481,Moored,,0.0,114.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:26:11,Class A,220001000,57.055608,9.92481,Moored,,0.0,114.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:34:41,Class A,220001000,57.05561,9.924817,Moored,,0.1,93.0,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:43:41,Class A,220001000,57.055603,9.924815,Moored,,0.0,19.6,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:46:41,Class A,220001000,57.055593,9.924808,Moored,,0.0,214.2,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 00:49:41,Class A,220001000,57.055593,9.9248,Moored,,0.0,214.2,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 01:16:41,Class A,220001000,57.055607,9.924832,Moored,,0.0,214.2,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 01:25:41,Class A,220001000,57.055605,9.924832,Moored,,0.1,214.2,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 01:34:41,Class A,220001000,57.055608,9.924842,Moored,,0.0,345.3,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 01:50:11,Class A,220001000,57.055608,9.924842,Moored,,0.0,345.3,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 01:55:42,Class A,220001000,57.055607,9.924833,Moored,,0.0,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:02:11,Class A,220001000,57.055607,9.924833,Moored,,0.0,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:04:42,Class A,220001000,57.0556,9.924848,Moored,,0.1,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:14:11,Class A,220001000,57.0556,9.924848,Moored,,0.1,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:19:42,Class A,220001000,57.055607,9.924833,Moored,,0.0,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:20:11,Class A,220001000,57.055607,9.924833,Moored,,0.0,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:26:11,Class A,220001000,57.055607,9.924833,Moored,,0.0,2.8,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
26/11/2024 02:37:41,Class A,220001000,57.055607,9.924852,Moored,,0.0,20.9,,Unknown,OUTY,LOA,Pleasure,,6.0,30.0,Combined GPS/GLONASS,2.4,NORRESUNDBY,04/11/2024 16:00:00,AIS,27.0,3.0,3.0,3.0
