# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:59,Class A,246541000,57.674368,11.784857,At anchor,0.0,0.2,29.4,195.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:03:17,Class A,246541000,57.674368,11.784857,At anchor,0.0,0.2,29.4,195.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:09:01,Class A,246541000,57.6743,11.784868,At anchor,0.0,0.0,261.6,190.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:12:01,Class A,246541000,57.674312,11.785123,At anchor,0.0,0.1,261.6,198.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:14:55,Class A,246541000,57.67429,11.785308,At anchor,0.0,0.0,261.6,207.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:15:17,Class A,246541000,57.67429,11.785308,At anchor,0.0,0.0,261.6,207.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:24:00,Class A,246541000,57.674317,11.784972,At anchor,0.0,0.1,261.6,201.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:26:59,Class A,246541000,57.67436,11.784868,At anchor,0.0,0.0,261.6,196.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:27:17,Class A,246541000,57.67436,11.784868,At anchor,0.0,0.0,261.6,196.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:32:59,Class A,246541000,57.674347,11.78464,At anchor,0.0,0.0,261.6,183.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:39:00,Class A,246541000,57.674323,11.784952,At anchor,0.0,0.1,261.6,193.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:39:17,Class A,246541000,57.674323,11.784952,At anchor,0.0,0.1,261.6,193.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:44:59,Class A,246541000,57.674307,11.785182,At anchor,0.0,0.0,261.6,204.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:47:54,Class A,246541000,57.674293,11.78521,At anchor,0.0,0.0,261.6,208.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:53:57,Class A,246541000,57.674313,11.785098,At anchor,0.0,0.0,261.6,197.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:57:01,Class A,246541000,57.674293,11.785168,At anchor,0.0,0.0,261.6,198.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:57:16,Class A,246541000,57.674293,11.785168,At anchor,0.0,0.0,261.6,198.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 00:59:59,Class A,246541000,57.67428,11.78532,At anchor,0.0,0.0,261.6,206.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:03:17,Class A,246541000,57.67428,11.78532,At anchor,0.0,0.0,261.6,206.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:06:00,Class A,246541000,57.674293,11.785142,At anchor,0.0,0.1,261.6,210.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:09:00,Class A,246541000,57.674348,11.784963,At anchor,0.0,0.1,261.6,196.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:15:16,Class A,246541000,57.674348,11.784963,At anchor,0.0,0.1,261.6,196.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:21:02,Class A,246541000,57.674347,11.785083,At anchor,0.0,0.0,278.2,201.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:23:57,Class A,246541000,57.674312,11.785195,At anchor,0.0,0.0,278.2,207.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:27:02,Class A,246541000,57.6743,11.785188,At anchor,0.0,0.1,278.2,210.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:35:58,Class A,246541000,57.674323,11.784887,At anchor,0.0,0.0,278.2,191.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:39:17,Class A,246541000,57.674323,11.784887,At anchor,0.0,0.0,278.2,191.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:41:59,Class A,246541000,57.674317,11.785248,At anchor,0.0,0.0,278.2,208.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:51:00,Class A,246541000,57.67435,11.78471,At anchor,0.0,0.0,286.4,188.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:51:17,Class A,246541000,57.67435,11.78471,At anchor,0.0,0.0,286.4,188.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:53:58,Class A,246541000,57.674317,11.784758,At anchor,0.0,0.1,286.4,184.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 01:57:00,Class A,246541000,57.674317,11.78505,At anchor,0.0,0.1,105.4,194.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 02:00:00,Class A,246541000,57.674303,11.785248,At anchor,0.0,0.0,105.4,202.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 02:03:01,Class A,246541000,57.67428,11.785343,At anchor,0.0,0.0,105.4,206.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 02:03:17,Class A,246541000,57.67428,11.785343,At anchor,0.0,0.0,105.4,206.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
26/11/2024 02:05:59,Class A,246541000,57.67427,11.785438,At anchor,0.0,0.0,105.4,214.0,9393333,PBQH,THUN GAZELLE,Tanker,,15.0,116.0,GPS,5.0,SE GOT,23/11/2024 20:30:00,AIS,105.0,11.0,14.0,1.0
