# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 20:37:46,Class A,257942000,54.100275,9.329342,Under way using engine,0.0,6.8,8.7,7.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 21:10:20,Class A,257942000,54.100275,9.329342,Under way using engine,0.0,6.8,8.7,7.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:10:58,Class A,257942000,54.15207,9.37099,Under way using engine,0.0,6.9,60.2,59.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:11:17,Class A,257942000,54.152402,9.371933,Under way using engine,0.0,6.9,57.4,56.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:11:27,Class A,257942000,54.15256,9.372342,Under way using engine,0.0,6.8,56.6,55.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:11:37,Class A,257942000,54.152763,9.372832,Under way using engine,0.0,6.7,55.5,55.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:11:46,Class A,257942000,54.15293,9.37323,Under way using engine,0.0,6.7,54.9,55.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:12:27,Class A,257942000,54.153677,9.375005,Under way using engine,0.0,6.7,55.3,58.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:12:46,Class A,257942000,54.15399,9.375808,Under way using engine,0.0,6.7,57.6,59.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:12:58,Class A,257942000,54.15419,9.376347,Under way using engine,0.0,6.7,57.9,60.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
26/11/2024 21:13:17,Class A,257942000,54.154467,9.377158,Under way using engine,0.0,6.7,58.1,60.0,9346512,LAFY6,NORDIC SAGA,Tanker,Category Z,14.0,89.0,GPS,5.2,DK FRC,27/11/2024 14:00:00,AIS,72.0,17.0,8.0,6.0
