# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 22:23:18,Class A,257312000,57.868037,7.922868,Under way using engine,0.0,11.0,92.7,90.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 22:27:02,Class A,257312000,57.868037,7.922868,Under way using engine,0.0,11.0,92.7,90.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:34:18,Class A,257312000,57.86583,7.984497,Under way using engine,0.0,10.9,90.9,88.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:37:57,Class A,257312000,57.865483,8.004812,Under way using engine,0.0,10.4,91.5,90.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:41:19,Class A,257312000,57.865168,8.023422,Under way using engine,0.0,10.6,92.7,90.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:44:19,Class A,257312000,57.86484,8.040127,Under way using engine,0.0,10.8,91.0,89.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:45:59,Class A,257312000,57.864668,8.049283,Under way using engine,0.0,10.3,91.4,89.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:50:48,Class A,257312000,57.864227,8.075598,Under way using engine,,10.6,92.6,87.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:51:28,Class A,257312000,57.864167,8.079173,Under way using engine,,10.6,94.2,87.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:53:18,Class A,257312000,57.864017,8.089337,Under way using engine,0.0,10.4,92.7,88.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
26/11/2024 22:56:38,Class A,257312000,57.863713,8.107598,Under way using engine,0.0,10.9,92.5,87.0,8915524,LADP8,SILVER BIRD,Cargo,,15.0,93.0,GPS,5.7,LTKLJ,28/11/2024 22:00:00,AIS,74.0,19.0,5.0,10.0
