# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:25,Class A,912191373,57.058248,9.89485,Moored,,0.1,161.2,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:02:52,Class A,912191373,57.058248,9.89485,Moored,,0.1,161.2,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:03:26,Class A,912191373,57.05821,9.894945,Moored,,0.1,174.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:06:25,Class A,912191373,57.058238,9.894875,Moored,,0.1,172.2,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:08:52,Class A,912191373,57.058238,9.894875,Moored,,0.1,172.2,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:09:25,Class A,912191373,57.058243,9.894847,Moored,,0.1,180.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:12:25,Class A,912191373,57.058223,9.8949,Moored,,0.1,178.0,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:14:53,Class A,912191373,57.058223,9.8949,Moored,,0.1,178.0,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:15:27,Class A,912191373,57.058243,9.894885,Moored,,0.1,177.8,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:18:26,Class A,912191373,57.058228,9.894855,Moored,,0.1,182.1,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:20:55,Class A,912191373,57.058228,9.894855,Moored,,0.1,182.1,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:21:26,Class A,912191373,57.058237,9.894863,Moored,,0.1,172.5,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:24:25,Class A,912191373,57.058323,9.894877,Moored,,0.1,179.8,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:26:56,Class A,912191373,57.058323,9.894877,Moored,,0.1,179.8,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:27:25,Class A,912191373,57.058333,9.894835,Moored,,0.1,179.1,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:30:26,Class A,912191373,57.058313,9.894788,Moored,,0.1,185.5,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:32:57,Class A,912191373,57.058313,9.894788,Moored,,0.1,185.5,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:33:26,Class A,912191373,57.058472,9.894867,Moored,,0.1,190.0,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:36:25,Class A,912191373,57.058525,9.89489,Moored,,0.1,185.7,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:38:58,Class A,912191373,57.058525,9.89489,Moored,,0.1,185.7,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:39:25,Class A,912191373,57.058562,9.894852,Moored,,0.1,181.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:42:25,Class A,912191373,57.058643,9.894848,Moored,,0.1,183.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:44:58,Class A,912191373,57.058643,9.894848,Moored,,0.1,183.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:45:25,Class A,912191373,57.0584,9.894908,Moored,,0.1,174.5,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:48:26,Class A,912191373,57.05832,9.894902,Moored,,0.1,173.4,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:50:59,Class A,912191373,57.05832,9.894902,Moored,,0.1,173.4,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:51:25,Class A,912191373,57.05832,9.894902,Moored,,,,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:54:25,Class A,912191373,57.058278,9.894865,Moored,,0.1,169.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:57:00,Class A,912191373,57.058278,9.894865,Moored,,0.1,169.9,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 00:57:25,Class A,912191373,57.058278,9.894893,Moored,,0.1,172.6,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 01:00:26,Class A,912191373,57.05832,9.894865,Moored,,0.1,171.7,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
26/11/2024 01:03:00,Class A,912191373,57.05832,9.894865,Moored,,0.1,171.7,,Unknown,OU6666,MOONSHINE,Pleasure,,4.0,14.0,GPS,1.3,AALBORG,01/09/2025 08:50:00,AIS,7.0,7.0,3.0,1.0
