# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:13,Class A,219440000,56.078368,4.228393,Moored,,0.1,294.0,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:15,Class A,219440000,56.078368,4.228393,Moored,,0.1,294.0,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:03:13,Class A,219440000,56.078427,4.228437,Moored,,0.2,280.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:06:13,Class A,219440000,56.078405,4.228437,Moored,,0.0,273.7,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:07:16,Class A,219440000,56.078405,4.228437,Moored,,0.0,273.7,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:09:13,Class A,219440000,56.078435,4.22846,Moored,,0.0,278.6,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:12:13,Class A,219440000,56.078402,4.228445,Moored,,0.1,282.6,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:13:15,Class A,219440000,56.078402,4.228445,Moored,,0.1,282.6,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:15:13,Class A,219440000,56.078415,4.228487,Moored,,0.1,273.6,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:18:14,Class A,219440000,56.078415,4.228468,Moored,,0.0,303.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:19:16,Class A,219440000,56.078415,4.228468,Moored,,0.0,303.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:21:14,Class A,219440000,56.078443,4.22845,Moored,,0.1,316.2,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:24:14,Class A,219440000,56.078397,4.228452,Moored,,0.1,275.0,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:25:16,Class A,219440000,56.078397,4.228452,Moored,,0.1,275.0,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:27:14,Class A,219440000,56.078415,4.22847,Moored,,0.0,280.2,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:30:14,Class A,219440000,56.078407,4.228413,Moored,,0.1,262.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:31:16,Class A,219440000,56.078407,4.228413,Moored,,0.1,262.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:33:14,Class A,219440000,56.078423,4.228442,Moored,,0.1,277.0,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:36:14,Class A,219440000,56.07843,4.228493,Moored,,0.1,283.4,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:37:16,Class A,219440000,56.07843,4.228493,Moored,,0.1,283.4,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:39:14,Class A,219440000,56.078415,4.228458,Moored,,0.0,290.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:42:14,Class A,219440000,56.078403,4.22843,Moored,,0.1,276.1,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:43:16,Class A,219440000,56.078403,4.22843,Moored,,0.1,276.1,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:45:14,Class A,219440000,56.078402,4.22837,Moored,,0.1,272.3,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:48:15,Class A,219440000,56.078402,4.22844,Moored,,0.0,229.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:49:17,Class A,219440000,56.078402,4.22844,Moored,,0.0,229.5,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:51:15,Class A,219440000,56.078383,4.228352,Moored,,0.1,220.7,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:54:15,Class A,219440000,56.078398,4.228415,Moored,,0.0,210.8,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:55:17,Class A,219440000,56.078398,4.228415,Moored,,0.0,210.8,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 00:57:15,Class A,219440000,56.07838,4.228432,Moored,,0.1,195.1,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
26/11/2024 01:00:15,Class A,219440000,56.078417,4.22844,Moored,,0.0,218.6,,Unknown,XPC8559,SOUTH ARNE,Other,Category OS,50.0,100.0,GPS,25.5,SOUTH ARNE PLATFORM,,AIS,10.0,90.0,40.0,10.0
