# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:01:17,Class A,232005533,57.114933,12.246358,Moored,0.0,0.0,302.2,189.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:03:23,Class A,232005533,57.114933,12.246358,Moored,0.0,0.0,302.2,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:05:12,Class A,232005533,57.114933,12.246363,Moored,0.0,0.0,356.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:07:08,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,348.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:09:23,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,348.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:11:19,Class A,232005533,57.114927,12.246362,Moored,0.0,0.0,340.6,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:13:11,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,351.9,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:15:23,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,351.9,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:17:13,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,0.5,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:19:11,Class A,232005533,57.114927,12.246367,Moored,0.0,0.0,334.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:21:23,Class A,232005533,57.114927,12.246367,Moored,0.0,0.0,334.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:23:04,Class A,232005533,57.114927,12.246367,Moored,0.0,0.0,333.2,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:25:19,Class A,232005533,57.114927,12.246368,Moored,0.0,0.0,283.1,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:27:22,Class A,232005533,57.114927,12.246368,Moored,0.0,0.0,283.1,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:29:12,Class A,232005533,57.114933,12.24637,Moored,0.0,0.0,354.5,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:31:04,Class A,232005533,57.114933,12.246368,Moored,0.0,0.0,25.0,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:33:23,Class A,232005533,57.114933,12.246368,Moored,0.0,0.0,25.0,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:35:17,Class A,232005533,57.114933,12.246367,Moored,0.0,0.0,30.1,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:37:20,Class A,232005533,57.114933,12.246368,Moored,0.0,0.0,4.1,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:39:23,Class A,232005533,57.114933,12.246368,Moored,0.0,0.0,4.1,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:41:18,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,270.8,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:45:23,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,270.8,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:47:14,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,300.7,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:49:11,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,255.5,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:51:23,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,255.5,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:53:10,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,254.4,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:55:05,Class A,232005533,57.114927,12.24636,Moored,0.0,0.0,231.8,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:57:23,Class A,232005533,57.114927,12.24636,Moored,0.0,0.0,231.8,189.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 00:59:13,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,234.2,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:01:12,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,260.8,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:03:23,Class A,232005533,57.114927,12.246363,Moored,0.0,0.0,260.8,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:05:08,Class A,232005533,57.114927,12.24636,Moored,0.0,0.0,250.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:07:11,Class A,232005533,57.114927,12.246358,Moored,0.0,0.0,233.8,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:11:20,Class A,232005533,57.114927,12.246355,Moored,0.0,0.0,183.1,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:13:06,Class A,232005533,57.114927,12.246352,Moored,0.0,0.0,273.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:15:22,Class A,232005533,57.114927,12.246352,Moored,0.0,0.0,273.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:17:07,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,262.2,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:19:14,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,286.7,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:21:22,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,286.7,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:23:13,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,298.2,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:25:06,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,299.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:27:23,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,299.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:29:08,Class A,232005533,57.114927,12.246355,Moored,0.0,0.0,308.5,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:31:04,Class A,232005533,57.114927,12.24636,Moored,0.0,0.0,307.6,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:33:23,Class A,232005533,57.114927,12.24636,Moored,0.0,0.0,307.6,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:35:09,Class A,232005533,57.114927,12.246362,Moored,0.0,0.0,320.2,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:41:15,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,333.9,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
26/11/2024 01:43:05,Class A,232005533,57.114927,12.246353,Moored,0.0,0.0,326.2,188.0,9404235,MAKG9,VELOX,Cargo,No additional information,15.0,90.0,GPS,3.6,SE VAG,24/11/2024 12:00:00,AIS,76.0,14.0,10.0,5.0
