Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-05-23 22:30:30,Class A,219025535,55.769172,7.669215,Engaged in fishing,0.0,0.4,96.5,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:30:40,Class A,219025535,55.769172,7.669245,Engaged in fishing,0.0,0.4,89.7,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:30:52,Class A,219025535,55.769173,7.669283,Engaged in fishing,0.0,0.4,94.6,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:31:10,Class A,219025535,55.769177,7.66934,Engaged in fishing,0.0,0.5,77.3,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:31:31,Class A,219025535,55.769183,7.669397,Engaged in fishing,0.0,0.8,84.5,132.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:31:40,Class A,219025535,55.769188,7.669422,Engaged in fishing,0.0,0.2,,134.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:31:52,Class A,219025535,55.76919,7.669457,Engaged in fishing,,0.2,,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:32:10,Class A,219025535,55.769195,7.669508,Engaged in fishing,0.0,0.1,,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:32:31,Class A,219025535,55.769198,7.669565,Engaged in fishing,0.0,0.8,75.2,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:32:40,Class A,219025535,55.769202,7.669592,Engaged in fishing,0.0,0.3,80.7,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:32:52,Class A,219025535,55.76921,7.669625,Engaged in fishing,0.0,0.4,53.6,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:33:10,Class A,219025535,55.76922,7.669678,Engaged in fishing,0.0,0.3,77.4,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:33:31,Class A,219025535,55.769227,7.66973,Engaged in fishing,0.0,0.1,,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:33:34,Class A,219025535,55.769227,7.66973,Engaged in fishing,0.0,0.1,,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:33:40,Class A,219025535,55.76923,7.669752,Engaged in fishing,0.0,0.4,43.8,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:33:52,Class A,219025535,55.769232,7.669778,Engaged in fishing,0.0,0.2,,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:34:10,Class A,219025535,55.769238,7.669825,Engaged in fishing,0.0,0.8,64.2,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:34:31,Class A,219025535,55.769247,7.669875,Engaged in fishing,0.0,0.4,22.4,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:34:40,Class A,219025535,55.769247,7.669897,Engaged in fishing,0.0,0.6,92.5,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:34:50,Class A,219025535,55.769252,7.669918,Engaged in fishing,0.0,0.5,77.9,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:35:20,Class A,219025535,55.769262,7.669982,Engaged in fishing,0.0,0.2,308.6,134.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:35:31,Class A,219025535,55.769263,7.670012,Engaged in fishing,0.0,0.6,118.0,133.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:35:40,Class A,219025535,55.769268,7.670032,Engaged in fishing,0.0,0.6,65.7,132.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:35:50,Class A,219025535,55.769272,7.67005,Engaged in fishing,0.0,0.5,87.5,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:01,Class A,219025535,55.769277,7.67008,Engaged in fishing,0.0,0.3,83.0,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:10,Class A,219025535,55.769282,7.670102,Engaged in fishing,0.0,0.7,59.5,130.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:20,Class A,219025535,55.769285,7.67013,Engaged in fishing,0.0,1.1,97.8,131.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:31,Class A,219025535,55.769287,7.670162,Engaged in fishing,0.0,0.7,82.1,131.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:40,Class A,219025535,55.76929,7.670178,Engaged in fishing,0.0,0.4,74.2,133.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:36:50,Class A,219025535,55.769293,7.670205,Engaged in fishing,0.0,0.5,42.1,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:01,Class A,219025535,55.769293,7.670233,Engaged in fishing,,0.6,64.8,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:10,Class A,219025535,55.769292,7.670257,Engaged in fishing,0.0,0.2,88.9,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:20,Class A,219025535,55.769292,7.670287,Engaged in fishing,0.0,0.5,94.0,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:31,Class A,219025535,55.769293,7.670317,Engaged in fishing,0.0,0.3,83.8,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:40,Class A,219025535,55.769293,7.670337,Engaged in fishing,0.0,0.4,90.7,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:37:50,Class A,219025535,55.769295,7.67037,Engaged in fishing,0.0,0.1,,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:01,Class A,219025535,55.769297,7.670402,Engaged in fishing,0.0,0.9,60.1,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:10,Class A,219025535,55.769297,7.67043,Engaged in fishing,0.0,0.1,,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:20,Class A,219025535,55.7693,7.670462,Engaged in fishing,0.0,0.5,78.0,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:31,Class A,219025535,55.769302,7.67049,Engaged in fishing,0.0,0.5,104.7,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:40,Class A,219025535,55.769307,7.67052,Engaged in fishing,0.0,0.5,65.0,139.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:38:50,Class A,219025535,55.769308,7.670553,Engaged in fishing,0.0,0.6,114.7,140.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:01,Class A,219025535,55.769313,7.67058,Engaged in fishing,0.0,0.7,61.6,139.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:10,Class A,219025535,55.769315,7.670607,Engaged in fishing,0.0,0.3,144.5,139.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:20,Class A,219025535,55.769317,7.670637,Engaged in fishing,0.0,0.6,99.0,139.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:31,Class A,219025535,55.769317,7.670662,Engaged in fishing,0.0,0.4,87.6,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:35,Class A,219025535,55.769317,7.670662,Engaged in fishing,0.0,0.4,87.6,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:40,Class A,219025535,55.76932,7.670693,Engaged in fishing,0.0,0.7,64.4,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:39:50,Class A,219025535,55.769323,7.670727,Engaged in fishing,0.0,0.6,65.9,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:00,Class A,219025535,55.769327,7.670758,Engaged in fishing,0.0,0.4,114.0,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:11,Class A,219025535,55.76933,7.6708,Engaged in fishing,0.0,0.6,95.5,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:20,Class A,219025535,55.769332,7.67083,Engaged in fishing,0.0,0.7,97.3,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:31,Class A,219025535,55.769332,7.670857,Engaged in fishing,0.0,0.4,86.9,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:40,Class A,219025535,55.769335,7.670882,Engaged in fishing,0.0,0.5,56.8,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:40:50,Class A,219025535,55.769337,7.670913,Engaged in fishing,0.0,0.8,74.7,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:00,Class A,219025535,55.76934,7.670948,Engaged in fishing,0.0,0.1,,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:11,Class A,219025535,55.769343,7.670982,Engaged in fishing,0.0,0.3,61.3,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:21,Class A,219025535,55.769347,7.671012,Engaged in fishing,0.0,0.2,59.8,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:31,Class A,219025535,55.769347,7.67104,Engaged in fishing,0.0,0.3,51.8,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:40,Class A,219025535,55.769347,7.671068,Engaged in fishing,0.0,0.3,78.5,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:41:50,Class A,219025535,55.769352,7.6711,Engaged in fishing,0.0,0.5,48.2,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:00,Class A,219025535,55.769353,7.671133,Engaged in fishing,0.0,0.4,39.1,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:11,Class A,219025535,55.769355,7.671167,Engaged in fishing,0.0,0.6,77.1,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:21,Class A,219025535,55.769355,7.671193,Engaged in fishing,0.0,0.4,94.2,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:31,Class A,219025535,55.769357,7.671228,Engaged in fishing,0.0,0.8,82.3,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:40,Class A,219025535,55.769357,7.671248,Engaged in fishing,0.0,0.1,,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:42:50,Class A,219025535,55.769365,7.671287,Engaged in fishing,0.0,0.1,,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:00,Class A,219025535,55.769367,7.671315,Engaged in fishing,0.0,0.7,38.7,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:11,Class A,219025535,55.769373,7.671352,Engaged in fishing,0.0,0.8,92.9,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:21,Class A,219025535,55.76938,7.671378,Engaged in fishing,0.0,0.6,58.5,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:31,Class A,219025535,55.769385,7.67141,Engaged in fishing,0.0,0.3,77.1,139.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:41,Class A,219025535,55.769388,7.671433,Engaged in fishing,0.0,0.5,72.7,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:43:50,Class A,219025535,55.769393,7.67146,Engaged in fishing,0.0,0.3,90.3,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:44:00,Class A,219025535,55.769397,7.671487,Engaged in fishing,0.0,0.5,66.0,138.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:44:11,Class A,219025535,55.7694,7.671512,Engaged in fishing,0.0,0.4,82.2,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:44:21,Class A,219025535,55.769405,7.671533,Engaged in fishing,0.0,0.5,84.5,137.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:44:31,Class A,219025535,55.76941,7.671562,Engaged in fishing,0.0,0.3,45.9,136.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
2024-05-23 22:44:41,Class A,219025535,55.769413,7.671582,Engaged in fishing,0.0,0.7,335.1,135.0,Unknown,OXJO,BIRGITTE MARTINE,Fishing,,8.0,32.0,Internal,5.5,Unknown,,AIS,20.0,12.0,4.0,4.0,166
